# number|area|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
151|E|recall|Which pair is needed to determine turbulent-flow Darcy friction factor from a Moody chart?|Reynolds number and relative roughness|Froude number and static lift|Pipe age and elevation head|Hazen-Williams C and motor speed|The Moody relationship describes friction using flow regime and roughness relative to diameter. Static lift does not determine pipe-wall friction.|math
154|C|application|A circular sewer flows full with an internal diameter of 0.60 m. What hydraulic radius should be used in Manning's equation?|0.15 m|0.30 m|0.60 m|0.075 m|Hydraulic radius is area divided by wetted perimeter: (πD²/4)/(πD) = D/4 = 0.15 m. It is not the geometric radius.|math
155|M|application|A sewer crown is at 101.2 m and the measured HGL is 101.8 m. The manhole rim is 103.0 m. Which conclusion follows?|The pipe is surcharged without demonstrated rim overflow|The rim is overflowing by 0.6 m|The pipe must be flowing half full|The measurement proves a structural collapse|The HGL exceeds the crown but remains below the rim. Surcharge and surface overflow are different conditions.|math
156|M|recall|In a rational-method runoff calculation, what does Q represent when units and method assumptions are satisfied?|Estimated peak runoff rate|Total storm runoff volume|Average sanitary base flow|Groundwater infiltration coefficient|The rational method estimates a peak rate. It does not directly calculate a storm hydrograph or total volume.|math
159|M|application|Why might a larger residential catchment have a lower peak-to-average factor than a small one?|Individual discharge peaks become less synchronized|Each resident necessarily produces less wastewater|The larger pipe eliminates all hourly variation|Groundwater infiltration disappears above a population threshold|Aggregation can smooth individual variations. Use applicable criteria and local observations; this trend is not a universal rule for every catchment.|om
160|M|recall|For open-channel flow, what does a Froude number of 1 indicate?|Critical flow|Uniform flow at every depth|Laminar flow|Zero energy loss|Critical flow is the transition between subcritical and supercritical regimes. Froude number addresses gravity-wave behaviour, not laminar versus turbulent flow.|math
164|M|recall|For uniform free-surface flow in a circular pipe at fixed Manning n and slope, maximum mean velocity occurs near which depth ratio?|0.81 of diameter|0.50 of diameter|0.94 of diameter|1.00 of diameter|Mean velocity peaks with hydraulic radius near 81% depth. Maximum discharge occurs nearer 94%, because area also affects discharge.|math
166|C|application|An open sewer section has a wetted area of 0.25 m² and mean velocity of 0.80 m/s. What flow passes the section?|200 L/s|20 L/s|312.5 L/s|320 L/s|Q = AV = 0.25 × 0.80 = 0.20 m³/s. Multiplying by 1000 converts m³/s to L/s.|math
169|E|application|A force-main model uses a clean-pipe Hazen-Williams coefficient, but field head loss is much higher. What should be checked before changing the coefficient?|Actual flow, internal diameter, deposits and valve configuration|The motor's rated voltage as the sole friction input|The assumption that PVC always retains its initial hydraulic condition|The pipe's external diameter substituted for internal diameter|Verify measurements and physical restrictions first. Material-based coefficients are assumptions, not permanent guarantees of installed performance.|force
172|E|application|At corresponding affinity-law points, an unchanged impeller delivers 50 L/s at 1200 rpm. Estimate flow at 1440 rpm, assuming similarity.|60 L/s|72 L/s|41.7 L/s|86.4 L/s|Flow scales with speed: 50 × 1440/1200 = 60 L/s. The installed duty point must still be checked against the system curve.|math
