# number|area|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
339|L|application|A wet-well inspection was planned with both inlet lines isolated. A field check finds an undocumented third inlet. What should the entry supervisor do?|Suspend entry and reassess isolation, inflow and rescue arrangements|Proceed using the original permit with a shorter inspection time|Increase ventilation and treat the extra inlet as controlled|Assign a second attendant while retaining the original isolation plan|An uncontrolled inlet changes the engulfment and atmospheric hazard assessment. Ventilation and additional attendants do not isolate incoming wastewater; entry arrangements must be reassessed before work proceeds.|confined
340|L|application|A station's impregnated-carbon H2S unit develops increasing outlet H2S. Instruments are verified, inlet loading and airflow remain stable, and visible condensate is found on the media. Which next step best investigates a cause supported by these observations?|Compare moisture conditions with the installed media's operating requirements|Infer complete media exhaustion from elapsed service time without a capacity check|Increase fan speed to dilute the outlet reading without evaluating contact time|Adjust the outlet analyser until it agrees with the previous operating baseline|Some H2S carbons need humidity, while liquid condensation can impair performance. Check the installed media's specification and the observed condensate rather than assuming either that all moisture is harmful or that carbon age proves exhaustion. The cited product bulletin demonstrates this distinction; its numerical limits are not universal.|carbonH2s
341|E|recall|What does a standardized sewer CCTV defect-coding system principally provide?|A consistent vocabulary for recording and comparing observed defects|A site-specific rehabilitation design for every recorded defect|A hydraulic capacity certificate for the inspected sewer reach|A replacement date determined without considering failure consequences|Standardized coding improves the consistency of observations and condition records. Rehabilitation decisions still require engineering judgement, hydraulic information and the consequences of failure.|om
342|E|application|A combination cleaning truck jets a trunk sewer but downstream grit levels rise after each pass. What adjustment best addresses the problem?|Coordinate jetting with effective vacuum recovery of mobilized debris|Increase jetting pressure while keeping the recovery arrangement unchanged|Move the cleaning start point upstream and let all debris travel downstream|Shorten CCTV inspection time to complete more jetting passes|Jetting mobilizes deposits; recovery removes them from the system. Moving solids to the next restriction can relocate the blockage instead of resolving it.|om
343|C|application|Two similar mains have annual cleaning schedules. Main A repeatedly accumulates grease within four months; main B stays clear at twelve months. What is the best schedule revision?|Shorten A's interval using recurrence evidence and reassess B separately|Clean both every four months because their diameters match|Retain annual cleaning until both mains experience a blockage|Extend both intervals because total annual blockage counts are low|Cleaning frequency should respond to observed accumulation, failure consequences and maintenance results. Similar diameter does not establish equal maintenance needs.|om
344|C|application|A grease blockage recurs downstream of several food businesses despite effective cleaning. Which follow-up best addresses recurrence?|Trace likely contributions and combine source-control follow-up with maintenance|Replace the downstream level sensor and retain the cleaning interval|Increase pump discharge pressure without investigating the gravity reach|Reclassify the blockage as a structural failure because cleaning was temporary|Cleaning restores conveyance but does not remove the source of recurring grease. Inspection and applicable source-control measures should be combined with an evidence-based cleaning schedule.|om
345|C|application|Roots return soon after cutting in a clay sewer. CCTV shows open joints without significant pipe deformation. Which long-term evaluation is most appropriate?|Compare joint sealing or suitable rehabilitation against repeated root removal|Increase cutter size until the roots and surrounding joints are removed|Install a larger downstream pipe while leaving the defective joints open|Treat the absence of deformation as proof that no rehabilitation is needed|Roots commonly exploit openings that remain after cutting. The rehabilitation choice should address the entry path while accounting for structural condition, connections and lifecycle cost.|om
346|C|application|A manhole cover rocks under traffic, but its casting is intact. What should be checked before specifying a replacement cover?|Frame condition, seating compatibility and the supporting assembly|The cover's mass without examining the frame or seating surface|The downstream pipe capacity before inspecting the cover assembly|The age of the casting as the sole replacement criterion|An intact cover can rock because of a damaged frame, mismatched seating or support movement. Replacing the cover alone may leave the actual defect unresolved.|om
347|E|application|Mainline CCTV shows a suspected lateral defect several metres beyond the connection. Which method best investigates that location?|A suitable lateral-launch or cleanout-access camera with location records|A repeat mainline camera pass without entering the lateral|A surface elevation survey without inspecting the lateral interior|A pump drawdown test at the downstream lift station|Mainline observations may not reveal defects farther along a lateral. A camera designed for lateral access can locate and document the suspected defect, subject to access and ownership arrangements.|om
348|C|application|Two pipes have similarly severe CCTV defects. Pipe A serves a hospital with no practical bypass; pipe B has redundancy and easy access. Which factor most strongly changes renewal priority?|The greater service and failure consequences associated with pipe A|The inspection date difference when both surveys are current|The larger number of photographs taken in pipe B|The lower unit replacement cost of pipe B regardless of risk|Condition indicates failure potential, while critical service, redundancy and access affect consequences and response options. Equal condition grades therefore need not produce equal priorities.|om
349|C|application|A reported blockage is causing rising upstream levels near occupied basements. What should the incident lead prioritize?|Mobilize a safe response while assessing flooding, overflow and communication needs|Finish the annual maintenance report before dispatching field resources|Notify customers that service is restored before field confirmation|Jet the line immediately without checking downstream restrictions or hazards|The response must address imminent consequences as well as the obstruction. Field conditions, downstream capacity, worker protection and affected-party communication should guide the intervention.|om
350|S|application|A repair uses three operators for four hours each at an exercise labour rate of $45 per operator-hour. Equipment costs $280 and materials cost $180. What direct job cost should the work order record?|$1,000|$640|$820|$1,180|Labour is 3 × 4 × $45 = $540. Adding $280 equipment and $180 materials gives $1,000; overhead is excluded by the stated exercise assumptions.|math
351|S|application|Utility A records 8 blockages on 200 km of sewer and utility B records 6 on 100 km during the same year. What are their respective rates per 100 km-year?|A: 4; B: 6|A: 8; B: 6|A: 4; B: 3|A: 16; B: 6|Normalize each count by length: A = 8/200 × 100 = 4 and B = 6/100 × 100 = 6. Comparable definitions and operating conditions are still needed before drawing performance conclusions.|math
352|S|application|A sample suggests an industrial discharge may violate a local sewer-use requirement. What is the defensible administrative next step?|Verify the applicable requirement and evidence, then follow the authorized enforcement process|Apply a penalty copied from another municipality with a similar industry|Promise that no action will follow if the next single sample is compliant|Issue a public finding before confirming sample identity and analytical quality|Requirements and enforcement powers depend on the applicable local instruments. A defensible response links verified evidence to the relevant requirement and the authorized process.|om
354|M|application|An industrial user's monitoring report omits flow data required by its discharge authorization. Concentrations are below the reported limits. What should the reviewer conclude?|The report is incomplete and does not establish any required mass-loading compliance|All discharge conditions are satisfied because concentrations are low|Mass loading is zero whenever concentration limits are met|Missing flow data can be replaced by the facility's water bill without evaluation|Where flow or mass reporting is required, concentration results alone are insufficient. The reviewer should resolve missing information using the actual authorization and valid measurement evidence.|om
358|S|application|A utility changes a facility configuration and asks whether its operator certification requirements also change. What is the appropriate basis for the decision?|The classification and certification requirements of the responsible authority|The collection-system population alone without reference to classification|The contractor's preferred certification level for the project|The certification requirement used by a neighbouring US utility|Facility classification and operator certification are administered by the responsible jurisdiction. Review how the changed configuration affects the applicable classification and staffing requirements with that authority, rather than copying another location's rules or relying on one design feature.|certification
359|S|application|Before a regulatory inspection, an operator finds discrepancies between overflow logs and maintenance records. What is the best preparation?|Reconcile the records transparently and retain the evidence behind corrections|Delete the overflow entry if the maintenance record gives a different time|Create replacement logs without keeping the original discrepancy|Wait for the inspector to identify the conflict before investigating|A traceable reconciliation explains what happened and how records were corrected. Removing contradictory evidence undermines both operational learning and the credibility of compliance records.|om
361|S|application|An overflow is confirmed, but its volume is still being estimated. What should an authorized public update do?|State confirmed facts and protective advice while identifying the unresolved estimate|Delay all communication until every quantity is exact|Publish the highest possible volume as a confirmed measurement|Describe the release as harmless because its volume is unknown|Useful incident communication distinguishes verified facts from estimates and uncertainties. Timing and recipients must follow the applicable response and notification requirements.|om
362|S|application|A utility has completed inspections but repeatedly defers action on known high-consequence defects. Which measure most directly reduces the underlying exposure?|Fund, assign and verify risk-based corrective actions for the identified defects|Increase inspection report length while leaving the defects unchanged|Purchase new reporting software as a substitute for corrective work|Stop recording repeat defects after their first inspection|Assessment creates value when findings lead to proportionate, completed action. More documentation alone does not reduce the physical likelihood or consequences of a known failure.|om
363|C|application|A proposed sewer material satisfies a product standard but conflicts with a project-specific approval condition. How should the design team proceed?|Resolve the conflict against applicable approvals and specifications before acceptance|Accept the material because any product standard overrides local approval conditions|Use the supplier's installation brochure as the final regulatory authority|Average the two requirements into an intermediate specification|A product standard and a project approval serve different purposes. Compliance must be evaluated against all applicable requirements, with conflicts resolved by the responsible authorities and designers.|om
364|S|application|A crew needs routine maintenance access to a sewer crossing private land. The asset map shows the pipe but contains no access documentation. What should the supervisor verify?|The applicable access rights, conditions and required owner coordination|Whether the pipe diameter is large enough to imply unrestricted access|Whether a previous crew entered once without documenting permission|Whether the mapping symbol automatically grants an easement|An asset location does not itself establish access rights. The utility should verify the relevant easement or other authority and its conditions before arranging routine access.|om
365|M|application|A hydraulic profile shows the predicted hydraulic grade line above several pipe crowns during a design event. What additional comparison identifies potential surface overflow locations?|Compare the hydraulic grade line with connected manhole rim and overflow elevations|Compare pipe wall thickness with the downstream pipe diameter|Compare nominal pipe length with the CCTV inspection distance|Compare average dry-weather velocity with the pump motor speed|A grade line above the crown indicates surcharge, not automatically surface overflow. Comparing water level with connected escape elevations identifies where overflow may occur.|om
366|C|application|A proposed gravity sewer falls from invert elevation 102.40 m to 101.80 m over 150 m. What is its average grade?|0.40%|0.04%|0.60%|2.50%|The fall is 0.60 m, so grade = 0.60/150 × 100 = 0.40%. This calculation describes the proposed grade; it does not establish a universal minimum design requirement.|math
367|L|application|A long-retention force main produces H2S at its discharge. Which design evaluation best supports odour control?|Evaluate sulfide formation, release points, ventilation and treatment as a connected system|Install an air valve at the discharge and assume odour treatment is complete|Increase wet-well storage without considering the additional retention time|Specify a chemical dose from another station without checking loading or demand|Odour control depends on wastewater conditions, retention, gas release and treatment performance. Air management alone does not establish effective sulfide or odour control.|force
