# number|area E/C/L/M/S|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
51|M|application|A pressure gauge is connected to a force main at elevation 100 m. Pressure head is 12 m and velocity head is 1 m. What elevation does the hydraulic grade line reach?|112 m|113 m|111 m|12 m|HGL is elevation head plus pressure head: 100 + 12 = 112 m. Adding velocity head gives the energy grade line, 113 m.|math
152|M|recall|Which expression defines hydraulic grade line elevation in a pressurized sewer, using datum elevation z and pressure head p/(rho g)?|z + p/(rho g)|z + p/(rho g) + V²/(2g)|z + V²/(2g)|p/(rho g) - z|The HGL contains elevation and pressure head. The EGL also includes velocity head; neither line is fixed to the pipe crown or centreline.|math
153|M|recall|In the SI Manning equation Q = A R^(2/3) S^(1/2)/n, what does S represent?|Energy slope expressed as a dimensionless ratio|Invert slope entered as a percentage number|Hydraulic radius divided by pipe diameter|Absolute elevation difference expressed in metres|S represents energy loss per unit length. Under uniform flow it equals bed slope; a 0.5% slope is entered as 0.005.|math
157|C|application|An existing gravity sewer repeatedly deposits grit despite meeting a nominal design velocity. What should the operator investigate before recommending reconstruction?|Actual low-flow hydraulics, sediment and cleaning history|Compliance with the nominal velocity value alone|The treatment plant's annual average effluent flow|The sewer material's published tensile strength alone|A design velocity is not proof that real low-flow conditions transport the deposited material. Use measured flows, sediment characteristics and maintenance evidence to select a response.|om
158|M|application|Two residential catchments have the same population but different measured hourly peaks. Which basis is strongest for updating their peaking assumptions?|Validated local flow records and catchment characteristics|One universal ratio applied to both catchments|The highest ratio listed in a supplier brochure|The ratio inferred from pipe diameter alone|Peaking depends on the contributing population and discharge pattern. Local, quality-checked records provide a better basis than an unexplained universal range.|om
161|M|application|A model assigns n = 0.011 to new PVC, but the existing sewer contains substantial deposits. What is the best next step?|Check condition and calibrate against measured levels and flows|Retain 0.011 because the original pipe is PVC|Increase the design population until the levels agree|Change the measured invert elevations to fit predictions|The assumed roughness of clean pipe may not describe a fouled sewer. Check geometry and data quality before calibrating physically defensible parameters.|om
162|M|application|A concrete sewer model overpredicts capacity. CCTV shows deposits, but the pipe geometry is unverified. Which investigation comes first?|Verify geometry, deposits and measured hydraulic data|Assign a larger diameter in the model|Remove wet-weather data from calibration|Use a universal concrete roughness coefficient|Material alone does not establish effective roughness or open area. Independent geometry and flow observations help distinguish the causes.|om
163|M|recall|For uniform free-surface flow in a clean circular pipe at constant slope and Manning n, maximum discharge occurs at approximately which depth ratio y/D?|0.94|0.50|0.81|1.00|The partial-flow area and hydraulic radius make discharge peak near 94% depth. Maximum mean velocity occurs nearer 81% depth; these are different maxima.|math
165|M|recall|For one-dimensional flow with kinetic-energy correction factor taken as 1, how far is the energy grade line above the hydraulic grade line?|V²/(2g)|V/g|p/(rho g)|z + p/(rho g)|EGL = z + p/(rho g) + V²/(2g), while HGL = z + p/(rho g). Subtraction leaves velocity head V²/(2g), measured in units of length. At zero velocity the two lines coincide.|math
167|M|recall|For steady incompressible inviscid flow with no shaft work, which quantity is constant along a streamline?|z + p/(rho g) + V²/(2g)|z + p/(rho g) - V²/(2g)|z + V²/(2g) alone|p/(rho g) alone|Under the stated Bernoulli assumptions, elevation, pressure and velocity heads sum to a constant. Real systems require pump, turbine and loss terms.|math
168|M|application|A Parshall flume's downstream water level rises enough to submerge the control. What must be checked before accepting the reported flow?|Whether the rating needs a submergence correction|Whether the original free-flow rating can be retained unchanged|Whether a longer averaging period removes the submergence effect|Whether a new upstream zero offset can replace downstream measurement|The free-flow rating depends on the control remaining within its applicable conditions. Submergence can require additional measurements and correction.|om
170|C|application|A force main operated at lower speed now accumulates solids. Which response best addresses both energy use and transport?|Verify the operating envelope and an appropriate flushing regime|Retain the lowest speed because power use fell|Increase wet-well detention without checking odour|Select velocity from one universal minimum value|Energy savings must be checked against solids transport, retention and the actual pump/system characteristics. A single nominal minimum cannot establish safe operation everywhere.|force
171|L|application|A pump operates with NPSHa just equal to its published NPSHr and shows cavitation damage. Which conclusion is sound?|A suitable NPSH margin and actual conditions need review|Treat NPSHa equal to NPSHr as proof that cavitation is absent|Attribute the damage to impeller material without reviewing suction conditions|Reduce suction pressure to move the pump farther from the published NPSHr|Published NPSHr commonly reflects a test criterion, not the complete absence of cavitation. Check the manufacturer's margin and the actual liquid, suction losses and operating range.|lift
