questionNum,module,verification,mainIssue,recommendedAction,allIssues
19,Processes,Independent review confirmed repair priority,"ambiguous_stem: Stem pairs 'surge tank or standpipe' as one device; a standpipe's primary function is storage and pressure/head maintenance, making option A ('additional storage capacity') also defensible.","Remove 'or standpipe' from stem and explanation so the item addresses surge tanks only, or rewrite as a standpipe question.","major: ambiguous_stem: Stem pairs 'surge tank or standpipe' as one device; a standpipe's primary function is storage and pressure/head maintenance, making option A ('additional storage capacity') also defensible.; moderate: explanation_accuracy: Explanation states 'Surge tanks and standpipes are designed to dampen pressure fluctuations (water hammer)', which mischaracterizes standpipes."
43,Processes,Independent review confirmed repair priority,distractor_quality: 'Analyzing temporary workers' and 'Transients dont occur in distribution' are clearly irrelevant or absurd distractors.,"Rewrite with three plausible, parallel-length distractors and split or simplify the stem.","critical: distractor_quality: 'Analyzing temporary workers' and 'Transients dont occur in distribution' are clearly irrelevant or absurd distractors.; major: answer_cueing: Correct option is far longer and more detailed than all others, cueing the key.; moderate: wording: Stem is double-barreled ('what is' and 'why is it critical'); 'dont' lacks apostrophe."
51,Processes,Independent review confirmed repair priority,distractor_quality: Option A 'A grading system for hydraulics courses' is clearly irrelevant to distribution hydraulics and not a plausible misconception.,"Replace option A with a plausible misconception (e.g., 'line of total energy including velocity head') and shorten the key or lengthen distractors.","major: distractor_quality: Option A 'A grading system for hydraulics courses' is clearly irrelevant to distribution hydraulics and not a plausible misconception.; moderate: answer_cue: Correct option is a multi-clause definition far longer than the three short distractors, cueing the key."
61,Processes,Independent review confirmed repair priority,"answer_key: Key says a system-wide leak survey is the 'most effective initial step', yet option B (audit of billing and meter records) reflects the standard first step of a water audit before field leak detection.",Rekey to the audit option or reword stem to ask for the field step after apparent losses are excluded.,"critical: answer_key: Key says a system-wide leak survey is the 'most effective initial step', yet option B (audit of billing and meter records) reflects the standard first step of a water audit before field leak detection.; moderate: terminology: 'Unaccounted-for water' is used while explanation shifts to 'non-revenue water'; terms are not equivalent."
82,Processes,Independent review confirmed repair priority,"numerical_contradiction: Explanation's 'Typical zone elevation range: 60-70m' conflicts with its own 275-700 kPa band, which spans only ~425 kPa (~43 m of head) before friction losses.",Correct zone elevation range to match pressure band (~40-45 m) or remove; verify Ontario minimum/maximum pressures.,"major: numerical_contradiction: Explanation's 'Typical zone elevation range: 60-70m' conflicts with its own 275-700 kPa band, which spans only ~425 kPa (~43 m of head) before friction losses.; moderate: distractor_quality: 'Zones where pressure is measured' and 'One pressure for the entire system' are weak distractors."
97,Processes,Independent review confirmed repair priority,"ambiguous_distractor: Distractor 'Only saves money with time-of-use rates' is supported by the item's own explanation listing 'time-of-use rates (differential pricing)' as a requirement, making it arguably a second correct answer.","Remove or reword the TOU distractor (e.g., reference demand charges), fix typo, and balance option lengths.","critical: ambiguous_distractor: Distractor 'Only saves money with time-of-use rates' is supported by the item's own explanation listing 'time-of-use rates (differential pricing)' as a requirement, making it arguably a second correct answer.; moderate: wording: Explanation contains typo 'dont'.; moderate: distractor_quality: 'Running pumps on a fixed schedule' and 'Pumps should run 24/7' are weak relative to a lengthy key."
105,Processes,Independent review confirmed repair priority,"formula_error: Correct option gives Q_avail = Q_test × ((Ps-Pr)/(Ps-140))^0.54, but explanation gives Qa = Qt × ((Ps-140)/(Ps-Pr))^0.54; the option's ratio is inverted relative to the explanation's (correct) form.","Correct option formula to ((Ps-Pd)/(Ps-Pr))^0.54, specify pitot formula units, and replace weak distractors.","critical: formula_error: Correct option gives Q_avail = Q_test × ((Ps-Pr)/(Ps-140))^0.54, but explanation gives Qa = Qt × ((Ps-140)/(Ps-Pr))^0.54; the option's ratio is inverted relative to the explanation's (correct) form.; moderate: technical_accuracy: Explanation pitot formula 'Q = 0.666 × c × d² × √P' states no units; coefficient does not obviously match L/s, mm, kPa.; moderate: distractor_quality: 'Testing fire extinguishers' and 'Fire flow cannot be measured' are implausible distractors."
115,Processes,Independent review confirmed repair priority,"technical_accuracy: Key states 'static pressure and residual pressure at the flowing hydrant'; these are measured at a separate residual (non-flowing) hydrant, with pitot at the flowing hydrant. Explanation repeats the error.","Revise key to 'static and residual pressure at the residual hydrant, pitot at the flowing hydrant'; fix stem plurality and isCalc.","critical: technical_accuracy: Key states 'static pressure and residual pressure at the flowing hydrant'; these are measured at a separate residual (non-flowing) hydrant, with pitot at the flowing hydrant. Explanation repeats the error.; moderate: wording: Stem asks for 'the primary data point' (singular) but key lists three measurements.; moderate: metadata: 'isCalc':'yes' with no calculation present."
134,Support Systems,Independent review confirmed repair priority,"factual_error: Stem equates 'corporation stop (curb stop)'; these are different fittings. Option B ('connect the service line directly to the watermain under pressure') actually describes a corporation stop, making two options defensible.","Remove '(corporation stop)' and ask only about the curb stop, or rewrite to distinguish the two fittings clearly.","critical: factual_error: Stem equates 'corporation stop (curb stop)'; these are different fittings. Option B ('connect the service line directly to the watermain under pressure') actually describes a corporation stop, making two options defensible.; major: ambiguity: Explanation repeats the conflation ('A curb stop (or corporation stop)'), so the keyed answer depends on which device the stem means."
166,Processes,"Source checked: satellite leak screening is L-band SAR, not infrared [2] [3]","technical_accuracy: Keyed option states 'Satellite-based leak detection using infrared imagery'; commercial satellite leak detection relies on L-band synthetic aperture radar, not infrared. Explanation's 'temperature anomalies' compounds the error.",Revise to 'satellite-based radar (SAR) leak detection' and align explanation; clarify scenario as area screening.,"major: technical_accuracy: Keyed option states 'Satellite-based leak detection using infrared imagery'; commercial satellite leak detection relies on L-band synthetic aperture radar, not infrared. Explanation's 'temperature anomalies' compounds the error.; moderate: ambiguity: 'Most suitable' for a single suspected leak is debatable; satellite surveys screen wide areas rather than pinpoint one leak."
175,Processes,Independent review confirmed repair priority,"internal_contradiction: Explanation says volume is sized to ""prevent rapid pump cycling"" yet specifies ""minimum 6 starts/hour""; cycling limits are maximums, so the direction is inverted.","Change to ""maximum"" starts/hour; rewrite distractors; fix typo; re-review.","major: internal_contradiction: Explanation says volume is sized to ""prevent rapid pump cycling"" yet specifies ""minimum 6 starts/hour""; cycling limits are maximums, so the direction is inverted.; major: distractor_quality: ""A well that is wet"" and ""Booster stations dont need wet wells"" are non-credible; key is the only detailed option.; moderate: wording: Typo ""dont"" in option 4."
224,Support Systems,Independent review confirmed repair priority,"likely_wrong_answer: Key says close branch valve first, then hydrant main valve. The hydrant main valve is normally closed; if flowing, closing the hydrant first then the branch (auxiliary) valve is standard. Explanation's 'prevent water hammer and control flow' contradicts using a gate valve to throttle.","Rewrite stem and key to reflect standard practice: close hydrant valve slowly, then close auxiliary valve for isolation.","critical: likely_wrong_answer: Key says close branch valve first, then hydrant main valve. The hydrant main valve is normally closed; if flowing, closing the hydrant first then the branch (auxiliary) valve is standard. Explanation's 'prevent water hammer and control flow' contradicts using a gate valve to throttle.; major: ambiguity: Stem premise 'sequence of valve operation for isolating the hydrant from the main' is unclear since only the branch valve isolates from the main."
253,Processes,Independent review confirmed repair priority,"distractor_quality: 'Controlling rust on vehicles', 'Corrosion control is optional', 'Only affects old pipes' are clearly irrelevant/implausible; key is identifiable by length alone.","Rewrite as focused stem with four concise, plausible options; verify orthophosphate dose and pH targets.","major: distractor_quality: 'Controlling rust on vehicles', 'Corrosion control is optional', 'Only affects old pipes' are clearly irrelevant/implausible; key is identifiable by length alone.; moderate: technical_accuracy: Explanation states orthophosphate 'dose 1-3 mg/L as P' and 'target pH 7.2-7.8'; values need source verification as typical ranges vary by utility."
255,Administration,Independent review confirmed repair priority,"distractor_quality: 'Only test during actual emergencies', 'Generators are maintenance-free', 'Only test annually' are implausible; key is obvious by length.",Rewrite with plausible options; verify testing frequencies and durations against the applicable standard before publishing.,"major: distractor_quality: 'Only test during actual emergencies', 'Generators are maintenance-free', 'Only test annually' are implausible; key is obvious by length.; moderate: technical_accuracy: 'weekly no-load run' and 'annual full-load test (4-hour duration)' are specific intervals/durations not verifiable from text; standards (e.g., CSA/NFPA) may differ and repeated no-load running risks wet stacking."
256,Support Systems,Independent review confirmed repair priority,"distractor_quality: 'An index of water satisfaction', 'LSI is not useful for distribution', 'Only positive LSI is acceptable' are clearly irrelevant; key identifiable by length.","Convert to a concise stem (e.g., meaning of negative LSI) with four plausible short options.","major: distractor_quality: 'An index of water satisfaction', 'LSI is not useful for distribution', 'Only positive LSI is acceptable' are clearly irrelevant; key identifiable by length."
257,Processes,Independent review confirmed repair priority,"distractor_quality: 'A switch that transfers water', 'Manual switching is sufficient', 'ATS is only for hospitals' are clearly irrelevant; key is the only detailed option.","Rewrite with plausible, similar-length distractors focused on one ATS function.","major: distractor_quality: 'A switch that transfers water', 'Manual switching is sufficient', 'ATS is only for hospitals' are clearly irrelevant; key is the only detailed option."
260,Support Systems,Independent review confirmed repair priority,distractor_quality: 'A movie about biology' and 'Only in warm climates' are clearly irrelevant; key is obvious by length.,Rewrite with plausible distractors of similar length; fix 'doesnt'.,major: distractor_quality: 'A movie about biology' and 'Only in warm climates' are clearly irrelevant; key is obvious by length.; moderate: wording: 'Biofilm doesnt exist' contains a typo (missing apostrophe).
263,Processes,Independent review confirmed repair priority,distractor_quality: 'A type of pipe material' and 'Not a distribution system concern' are clearly irrelevant; key is identifiable by length.,"Rewrite with concise, plausible options (e.g., growth temperature range); correct to ""Legionnaires' disease"".",major: distractor_quality: 'A type of pipe material' and 'Not a distribution system concern' are clearly irrelevant; key is identifiable by length.; moderate: wording: 'Legionnaires disease' lacks the apostrophe.
264,Support Systems,Independent review confirmed repair priority,"regulatory_accuracy: Explanation states 'report to MOH if confirmed'; under O. Reg. 170/03 total coliform detection in distribution is an adverse result requiring immediate reporting, not reporting only after confirmation.",Correct explanation to immediate reporting and resampling per O. Reg. 170/03 Schedules; balance option lengths.,"major: regulatory_accuracy: Explanation states 'report to MOH if confirmed'; under O. Reg. 170/03 total coliform detection in distribution is an adverse result requiring immediate reporting, not reporting only after confirmation.; moderate: distractor_quality: Key is far longer than 'Coliforms are always dangerous', 'Total coliforms are normal in distribution', 'Only E. coli matters', signalling the answer."
317,Processes,Independent review confirmed repair priority,"metadata_contradiction: 'isCalc':'yes' but the item contains no calculation, steps, or numeric data.",Set isCalc to 'no'; reword stem to ask what confirms leak-tightness and sanitary condition before commissioning; sharpen option A as clearly incorrect.,"major: metadata_contradiction: 'isCalc':'yes' but the item contains no calculation, steps, or numeric data.; moderate: ambiguity: 'most critical step to ensure the long-term integrity' is subjective; proper bedding/backfill arguably ensures long-term integrity, while hydrostatic testing verifies it.; moderate: distractor_quality: Option A 'backfilled with native soil immediately' is plausible in some practice, weakening its status as clearly wrong."
