# number|area|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
1|S|application|A collection master plan assumes growth that has not occurred, while an old trunk is deteriorating quickly. What should drive its revision?|Updated demand, condition and service-risk evidence|Retention of every original project date|The age of the plan document alone|The amount of unused pipe in stores|A master plan should connect future needs with actual asset risks. Revised evidence may change both expansion and renewal priorities.|om
2|S|application|Several urgent sewer projects exceed the available capital budget. What should a capital improvement program show?|Priorities, timing, costs and a feasible funding path|A list sorted by project name|Every project scheduled for immediate construction|The purchase price without future obligations|The program must turn priorities into a deliverable investment sequence. Cost and funding constraints must be made explicit.|om
3|S|application|Pipe A has frequent minor failures; pipe B is less likely to fail but serves a hospital with no bypass. How should renewal be prioritized?|Evaluate likelihood and consequences for both assets|Replace A solely because its failures are more frequent|Replace B solely because it has fewer failures|Choose the shorter pipe regardless of service risk|Risk combines the chance of failure with its impact. Frequency alone can overlook an infrequent but severe service interruption.|om
4|S|application|Two pumps meet duty requirements. One is cheaper to buy but consumes more energy. Which comparison supports selection?|Lifecycle cost over a common service period|Purchase price without energy costs|Motor size without measured efficiency|Vendor warranty length without maintenance costs|Compare capital and future costs on the same time and financial basis. A low initial price may not be the lowest lifecycle cost.|om
5|S|application|Projected renewal costs rise faster than current revenue. What should a long-term financial plan test?|Funding and expenditure scenarios against service needs|A permanent freeze on every expenditure|Current cash balance as proof of future adequacy|The assumption that future grants are guaranteed|A useful financial plan tests how the utility can sustain service through changing costs and revenue. It should expose funding gaps early.|om
6|S|application|A proposed sewer rate covers annual operations but ignores renewal. What should be added to the rate analysis?|The full service-cost and funding requirements|Only current cash operating costs|Only a neighbouring city's posted rate|Only the number of customer complaints|Rates should be assessed within a complete funding plan, including renewal and other obligations. Matching another utility's rate does not establish adequacy.|om
7|S|application|A new subdivision requires sewer expansion, but part of the project replaces an already deficient trunk. How should growth-related costs be assessed?|Separate growth needs from existing-service deficiencies|Assign the entire project to new development automatically|Charge existing users for all growth without analysis|Use the developer's preferred split as the technical basis|A defensible cost allocation distinguishes growth capacity from existing needs and follows applicable local funding rules. Ontario terminology is not a universal Manitoba rule.|om
8|S|application|A sewer grant application remains undecided when the capital plan is prepared. How should the funding be represented?|As conditional funding with a contingency plan|As cash already available for construction|As guaranteed revenue because the project is eligible|As a substitute for all future operating costs|Eligibility does not equal approval. The investment plan should identify the funding uncertainty and what happens if the grant is not received.|om
9|S|application|Borrowing would accelerate critical sewer renewal but increase future debt service. What comparison is needed?|Service-risk reduction versus affordable future obligations|Loan interest rate without principal repayment|Current construction cost without repayment timing|The maximum available loan as the spending target|Debt can spread capital cost over time, but repayment must fit a sustainable funding plan. Assess both service benefits and financial commitments.|om
10|S|application|A reserve balance looks large, but several station renewals are imminent. How should reserve adequacy be assessed?|Against forecast commitments and risk contingencies|Against the balance from last month alone|Against the number of bank accounts|Against the last reserve target without updated commitments|A reserve is adequate relative to the obligations it must support. Forecast timing and uncertainty matter more than the balance in isolation.|om
11|S|application|Asset records list pipe ages but no condition or failure consequences. What most improves renewal decisions?|Link condition, performance and criticality to each asset|Replace every pipe in installation-date order|Rank assets by depreciation without condition evidence|Rank solely by original construction price|Age is one indicator, not a complete risk assessment. Condition and service consequences help direct maintenance and renewal where they matter most.|om
12|S|application|Managers disagree about whether response performance is acceptable. What should a level-of-service framework provide?|Defined measures, targets and responsibility for follow-up|A promise that no complaint can occur|An equipment inventory without performance criteria|An annual spending total as the only service measure|Explicit service measures make performance assessable. Targets should reflect the utility's obligations and operational risks.|om
13|C|application|A station's access road floods before the station itself. What should climate-adaptation planning include?|Access continuity as well as station flood protection|Electrical elevation without considering access|Historic rainfall averages as the only design evidence|A larger wet well without a response review|A protected station can still lose service if crews cannot reach it. Assess the complete service and response chain under credible future conditions.|om
14|C|application|Rain gardens are proposed to reduce combined-sewer peaks. Nearby sanitary infiltration comes from cracked pipes below groundwater. What is the correct distinction?|Runoff controls do not directly repair groundwater leakage paths|Rain gardens seal submerged sewer joints|Green roofs replace all lateral rehabilitation|Runoff reduction proves sanitary pipes are watertight|Surface runoff management may help connected wet-weather inflow. Groundwater infiltration through defects needs its own investigation and response.|om
15|S|application|Two utilities are considering shared sewer services. What should a regionalization study compare?|Service, cost, governance and implementation alternatives|A merger as the predetermined outcome|A requirement to buy identical trucks immediately|A guarantee that staffing costs will disappear|Shared services and organizational consolidation are alternatives to assess, not automatic benefits. The study should test feasibility and service consequences.|om
16|S|application|A private delivery proposal has a lower headline price but uncertain maintenance obligations. What should be compared?|Whole-life value, risk allocation and enforceable service requirements|Headline price without contract obligations|The assumption that private delivery removes public accountability|Construction speed without long-term performance|A delivery model should be assessed against comparable requirements and risks. Lower headline cost alone does not establish better value.|om
17|C|application|Repeated overflows have different causes: roots, power loss and wet-weather capacity. What should the prevention plan do?|Assign cause-specific controls and verify their effectiveness|Use the same cleaning frequency as the sole response|Treat every incident as proof of undersized pipe|Replace reporting with a promise of elimination|The prevention program should address demonstrated causes. Track whether each intervention reduces the corresponding risk.|om
18|C|application|A combined-sewer control proposal adds storage but provides no emptying strategy. What must be resolved?|How stored flow is safely conveyed and capacity restored|The nominal storage volume without drawdown analysis|The assumption that stored volume vanishes after rainfall|The removal of downstream capacity checks|Storage shifts flow in time; it does not eliminate the volume. Its drawdown must fit downstream capacity and operating requirements.|om
19|C|application|An optimization project claims lower pump costs but increases upstream surcharging. How should it be evaluated?|Against system-wide service, risk and lifecycle performance|By the electricity bill alone|By the number of automatic control actions|By equipment purchase price alone|Local savings can transfer risk elsewhere. Evaluate the whole collection system and the required service outcomes.|om
20|C|application|A rehabilitation program ranks pipes from age records without inspections. What should a condition-assessment plan add?|Risk-prioritized observations suited to each asset type|Identical visual checks for every buried asset|A guarantee of exact remaining life from pipe age|Replacement of field evidence with vendor ratings|Condition assessment gathers appropriate evidence of structural and operational condition. Methods and priority should match the asset and risk.|om
21|S|application|Utility A reports more blockages than utility B but has five times the sewer length. What is needed for useful benchmarking?|Comparable definitions and normalized service measures|Raw event counts without system context|The older utility's figures as the universal standard|Cost per kilometre without comparable event definitions|Benchmarking requires consistent definitions and relevant denominators. Differences in network and service context should also be considered.|om
22|M|application|GIS and work orders identify the same manhole with different IDs. What should data management address first?|Stable asset identity and reconciliation of linked records|Adding more dashboards before correcting the mismatch|Deleting the older record without checking history|Changing field names without validating the mapping|Consistent identifiers connect location, inspection and maintenance evidence. Unreconciled identities can lead to work on the wrong asset.|om
23|S|application|A proposed energy-saving measure increases overflow risk. How should a sustainability plan treat it?|Assess environmental, service and financial consequences together|Accept it because electricity use decreases|Ignore overflow risk if the carbon estimate improves|Reject every efficiency change without assessment|Sustainability requires maintaining essential service and protection while evaluating resources and cost. One favourable metric is not sufficient.|om
24|L|application|Duty and standby pumps share one flood-vulnerable control panel. What weakness remains?|A common-cause failure can disable both pumps|Standby capacity guarantees complete independence|The second pump eliminates all electrical risk|Pump alternation removes the flood exposure|Redundancy must be evaluated for shared dependencies. Protect or provide alternatives for the common component as part of resilience planning.|lift
25|C|application|A road project and sewer renewal are planned separately on the same street. What should integrated planning evaluate?|Coordinated timing, utilities and service impacts|Sewer timing without the road work|Road timing without buried assets|The assumption that combined work is always cheaper|Coordination can avoid repeated disruption and conflicting designs. The actual cost, condition and scheduling tradeoffs still need assessment.|om
26|S|application|An asset register uses original construction costs to estimate today's renewal need. What adjustment is necessary?|A justified current replacement-cost basis|Assuming historical cost equals current replacement cost|Using market value of the land alone|Setting every fully depreciated asset's renewal cost to zero|Financial depreciation and the cost of replacing a functioning asset are different concepts. Use the appropriate valuation basis for the decision.|om
27|M|application|A proposed development lies outside the currently modelled catchment. What must be checked before accepting flow projections?|Its actual drainage route and downstream constraints|Its postal address as proof of sewer connectivity|The closest manhole regardless of invert elevations|The developer's lot count without routing|Service-area analysis must establish where flow will enter and travel. Geographic proximity alone does not identify the hydraulic connection.|om
28|E|application|A technology roadmap schedules sensors before the utility has reliable asset IDs or data ownership. What should change?|Sequence foundational data work before dependent systems|Buy every sensor first to avoid planning delays|Assume the vendor will resolve governance automatically|Replace operational objectives with a product catalogue|Technology plans should account for dependencies, capability and outcomes. Sensors do not by themselves create usable operational information.|om
29|S|application|A senior operator will retire and holds undocumented bypass knowledge. What is the most useful preparation?|Document and practise the procedure with designated staff|Archive the operator's contact number as the sole plan|Assume the equipment manual contains all local details|Wait for an emergency to train the replacement|Capture site-specific knowledge and verify that others can use it. A stored document alone is weaker than demonstrated capability.|om
30|S|application|Sewer construction will affect hospital access and local businesses. What should engagement begin with?|Identify affected users and practical access concerns|Publish a completion date without consulting affected users|Use one generic notice after excavation begins|Treat every complaint as resistance to necessary work|Early engagement can reveal operational constraints and mitigation needs. Communication should be accurate and tailored to those affected.|om
31|C|application|Two sewer projects use conflicting acceptance criteria for the same pipe type. What should the design-standard process resolve?|The applicable approved criteria and controlled version|Whichever criterion the contractor finds easiest|Whichever document was printed most recently|The omission of acceptance testing to avoid conflict|Design and construction should use an identified approved basis. Resolve document conflicts before work and acceptance decisions.|om
32|M|application|A design multiplies all measured wet-weather flow by a domestic peaking factor. What needs checking?|Whether peak wastewater and I/I have been double-counted|Whether a larger factor is always more accurate|Whether pipe material sets the peaking factor|Whether every catchment must share the same factor|Build design flow from correctly defined components. Applying a peaking factor to already peaked contributions can distort the demand estimate.|math
33|C|application|A trenchless liner is proposed for a sewer with a collapsed section. What must be assessed first?|Whether the host geometry permits the proposed method|The published liner roughness without checking host geometry|The assumption that every defect is suitable for lining|The elimination of all bypass planning|Method selection depends on actual defects, access and design requirements. A collapse may need local repair or another method before lining.|om
34|L|application|Pumps meet the design flow, but maintenance cannot be performed while service continues. What is missing from the station review?|Maintainability and continuity arrangements|A larger nameplate flow rating alone|A shorter maintenance log form|A promise that new pumps will not fail|Reliable station design includes safe maintenance and continuity, not just nominal pumping capacity.|lift
35|C|application|A replacement force main meets steady operating pressure but lacks a transient assessment. What remains unresolved?|Pressure extremes during pump and valve events|The annual average flow measurement|The steady-flow test without pump-trip conditions|The operator's preferred inspection day|Steady pressure does not establish surge resistance. Assess transient conditions and component ratings over the required operating envelope.|force
36|L|application|An odour system reduces complaints, but workplace gas alarms still occur. What should operators conclude?|Odour control has not established safe entry conditions|Reduced complaints prove the atmosphere is safe|The gas detector should be adjusted to match public perception|Workplace monitoring is no longer necessary|Nuisance reduction and worker protection are different objectives. Continue hazard assessment and entry controls regardless of odour complaints.|confined
37|C|application|CCTV finds leaking joints, while storm peaks suggest direct inflow elsewhere. How should I/I repairs be selected?|Match interventions to verified entry sources|Line the largest pipe regardless of source evidence|Treat every wet-weather increase as groundwater infiltration|Assume one repaired joint resolves the catchment|Targeted repairs require distinguishing groundwater leakage from direct runoff entry. Verify benefit after intervention.|om
38|M|application|A flow survey aims to identify the highest wet-weather contribution among subcatchments. Where should meters be placed?|At boundaries that permit meaningful tributary comparisons|Only at the final treatment-plant inlet|At the easiest access points regardless of network layout|At locations selected solely by pipe age|The network layout should let investigators distinguish contributing areas. Access matters, but convenience alone may not answer the survey question.|om
39|E|application|CCTV footage omits chainage and asset identity. What is the main limitation?|Defects cannot reliably be located and linked to assets|The image automatically establishes pipe slope|The file size proves the survey is complete|The missing labels improve independent interpretation|Usable inspection evidence requires traceable locations and identifiers. Clear images alone may not support targeted repair.|om
40|C|application|A proposed emergency overflow route would discharge to a creek. What must be established before treating it as an operating option?|Applicable authorization and a protective response design|That emergency labelling automatically permits discharge|That a screen removes all environmental obligations|That a downstream warning sign authorizes the release|A designed route is not itself permission to discharge. Evaluate prevention, response and applicable approval requirements.|om
41|C|application|A surge-control valve is proposed without analysing pump-trip conditions. What should the operator request?|A transient assessment covering credible operating events|A guarantee based only on valve diameter|An assumption that slower closure solves every transient|Removal of pressure logging after installation|Different events can create high or low pressure. A suitable protection strategy requires analysis and verification of the actual system.|force
42|C|application|A metallic force main crosses corrosive soil and carries septic wastewater. What should protection address?|Distinct external and internal exposure mechanisms|External coating as proof of internal resistance|Internal dosing as proof of external protection|Pipe wall thickness as the only corrosion control|External soil exposure and internal wastewater conditions can cause different damage. Select and verify controls for each relevant mechanism.|force
43|C|application|Groundwater is much higher than assumed in a sewer project. Which construction/design review is immediately relevant?|Dewatering, stability, buoyancy and installation conditions|The pipe's printed product name alone|The original tender quantities without field reassessment|The dry-weather geotechnical assumptions unchanged|Changed groundwater affects excavation and installed assets. Reassess the actual site conditions before relying on the original assumptions.|om
44|C|application|A sewer renewal would disturb a sensitive streambank. What should environmental assessment identify?|Potential effects and feasible avoidance or mitigation|A guarantee that buried infrastructure has no effect|The least expensive pipe without site context|An exemption inferred solely from project age|The assessment should examine the project's actual effects and controls. It does not replace the applicable approval process.|om
45|C|application|A sewer passes a visual check but lacks required acceptance-test records. What should the QA decision be?|Resolve the missing evidence against acceptance requirements|Accept it because the surface restoration looks good|Substitute a general warranty for specified acceptance results|Assume a warranty eliminates acceptance testing|Quality assurance requires evidence that specified acceptance criteria were met. Appearance and payment documents cannot establish hidden performance.|om
46|L|application|A new station pumps successfully in manual mode. What remains essential before operational acceptance?|Testing automatic sequencing, alarms and emergency arrangements|Acceptance based only on one manual run|Removal of temporary test records|Waiting for a real outage to test standby operation|Commissioning should demonstrate the required operating modes and failure responses. A single successful pumping test is incomplete.|lift
47|C|application|Construction rerouted a sewer around an obstruction. Which record should guide future locating and maintenance?|Verified as-built alignment and connection information|The superseded tender alignment|The contractor's initial cost estimate|The original route without change records|Records should show the actual installed asset. Unrecorded deviations create locating, maintenance and future design risks.|om
48|C|application|A design meets hydraulic calculations but omits access for cleaning. What should operations request during review?|A maintainable access arrangement before acceptance|Acceptance because hydraulic capacity is sufficient|A promise to purchase unspecified equipment later|Deletion of routine cleaning from the maintenance plan|Operational review complements engineering calculations. Access and safe maintainability are essential service requirements.|om
49|S|application|A value-engineering proposal removes standby pumping to reduce capital cost. How should it be evaluated?|Against required functions, risk and whole-life cost|As an improvement whenever the price falls|As acceptable because normal-day capacity is unchanged|By construction savings without outage consequences|Value engineering seeks required function at appropriate cost. Removing necessary reliability can reduce cost while destroying value.|om
50|C|application|A bypass line shown in the design blocks the only emergency vehicle route. What should constructability review do?|Resolve the physical and access conflict before work|Leave the conflict for the first overflow response|Remove the access requirement from the drawing|Assume a permit guarantees physical feasibility|Constructability review tests how work will actually be carried out. Resolve temporary works and access conflicts before construction.|om
54|L|application|A pump operates near BEP at average flow but outside its permitted range at peak demand. What should selection consider?|The full required operating envelope and reliability|Average-flow efficiency as the only criterion|The largest motor available regardless of curve|Maximum free-discharge flow as the duty point|Pump suitability depends on the system over its required range. One efficient point does not prove stable, adequate operation everywhere.|lift
96|S|application|Maintenance records are presented as an automatic defence to every environmental violation. What is the sound interpretation?|Records are evidence, not a guaranteed legal defence|Records automatically cancel every reporting obligation|Any signed form proves all reasonable precautions|The records need not describe actual work|Maintain accurate evidence of prevention and response. Legal outcomes depend on the applicable law and facts; avoid promising a universal defence.|om
101|M|application|A sewer leaks near a vulnerable groundwater source. What is the collection-system protection priority?|Assess and control the sewage release and exposure pathway|Treat drinking-water quality as unrelated to sewer integrity|Assume below-ground releases cannot spread contamination|Use the absence of odour as proof of containment|Collection-system integrity protects soil and water from sewage releases. Investigate the pathway and coordinate the appropriate response.|om
107|M|application|A machine-learning alarm model performs well on training data but poorly in a new catchment. What is needed?|Independent validation and review of changed data conditions|More confidence because training accuracy was high|Removal of all operator review immediately|A claim that every model improves automatically over time|Performance on training records does not establish performance elsewhere. Validate with representative unseen data and monitor changes.|om
